id,latitude,longitude,address
0,55.854577,37.354932,ул. Митинская д. 56
1,55.632825,37.744549,"ул. Борисовские пруды д. 14, корп. 4"
2,55.675352,37.470662,"Мичуринский пр-кт, Олимпийская деревня, д. 4, корп"
3,55.862934,37.598798,"ул. Санникова д. 17, стр. 2"
4,55.637337,37.696678,"Каширское шоссе д. 57, корп. 2"
5,55.642911,37.346838,ул. Скульптора Мухиной д. 6
6,55.817749,37.807261,ул. Байкальская д. 29
7,55.876440,37.512505,ул. Новая д. 9
8,55.581668,37.673969,ул. Загорьевская д. 1 корп.1
9,55.778785,37.827581,ул. Челябинская д. 15
10,55.678971,37.722657,"ул. Шоссейная д. 52, стр. 1"
11,55.629882,37.740893,"ул. Мусы Джалиля  д. 2, корп3"
12,55.820000,37.751332,Открытое шоссе д. 22
13,55.823014,37.757557,"Открытое шоссе д. 24, корп.11"
14,55.589839,37.644953,ул. Медынская д. 6Б
15,55.609324,37.758195,"Гурьевский проезд д. 31, корп.1"
16,55.691369,37.726538,"ул. Шоссейная, д. 4, корп. 3"
17,55.820096,37.582843,ул. Фонвизина д.5
18,55.657850,37.494189,"ул. Двадцати Шести Бакинских Комиссаров, д.4, корп"
19,55.831453,37.302219,"г. Красногорск, ул. Ленина, д.26 А, пом.7"
20,55.641961,37.765157,"ул. Борисовские пруды д. 36, корп.1"
21,55.944732,37.305462,"микрорайон Сходня,  Юбилейный проезд, д.8"
22,55.902747,37.703388,"ул. Юбилейная, стр. 42Г"
23,55.863783,37.570222,"ул. Дубнинская д.10, корп.3"
24,55.804688,37.717690,ул. Просторная  д. 8
25,55.764430,37.732287,"пр-кт Буденного, д.28"
26,55.599580,37.609281,"Россошанский проезд д. 5, корп.1"
27,55.598721,37.618875,"ул. Дорожная д. 24,  корп.1"
28,55.606878,37.524767,"ул. Вильнюсская, д. 1"
29,55.918015,38.112337,"пос. Биокомбината, д.16, пом. 403"
30,55.816885,37.949248,"ул. Орджоникидзе, д.21, пом.1"
31,55.817694,37.580706,"ул. Яблочкова, д.15"
32,55.680504,37.576780,"ул. Новочеремушкинская, д.24"
33,56.872019,35.906848,"ул. Зинаиды Коноплянниковой, д.15"
34,55.894137,37.721858,"ул. Веры Волошиной, 20"
35,55.646914,37.746912,"ул. Люблинская, 171"
36,55.832889,37.662228,"ул. Бажова, 8"
37,55.941062,37.498114,"ул. Спортивная, д.9Б"
38,55.632418,37.537515,"ул. Островитянова, д. 43А"
39,55.820288,37.338187,"ул.Школьная, д.1"
40,55.810547,37.791028,"Щелковское шоссе, д.57, корп.1"
41,55.742737,37.430588,Рублевское шоссе д.20 к.2
42,55.798647,37.718974,"ул. Большая Черкизовская, д. 5"
43,55.603263,37.658455,"ул. Радиальная 6-Я, д.7, стр.43"
44,55.732945,37.535763,"3-й Сетуньский проезд., д. 8"
45,55.912092,37.871041,"ул. Горького д. 14 Г, пом. 02,08"
46,55.860549,37.488943,"ул. Лавочкина, д.42"
47,55.702845,37.920628,"ул. Рождественская, д.16, корп.3"
48,55.877006,37.714384,ул. Лосевская д. 7
49,55.836155,37.316978,"ул. Народного Ополчения, д.1а"
50,55.660729,37.605041,"ул. Сивашская, д. 2 А"
