id,address1,address2,latitude,longitude,has_cardomat,is_open,workload,city
13,"4 мкр-н, ул. К.Сатпаева, д. 10","помещение 50, уг. ул. Петрова",51.1505,71.4699,True,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Нур-Султан
17,"пр. Богенбай батыра, д. 6Б","уг. ул. 2-Алматинская, возле рынка Эталон",51.1763678940824,71.3919412539665,False,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
10,"р-н Алматы, пр. Абылай Хана, д. 34","уг. ул. Жансугурова, ТД Гульжан, ост. ""Встреча""",51.1541119347638,71.4856726441799,True,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Нур-Султан
6,"р-н Алматы, ул. Иманова, д. 8",уг. пр. Республики,51.1627,71.4302,True,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Нур-Султан
19,"р-н Алматы, ул. Кенесары, д. 78",уг. ул. Жубанова,51.1627,71.4626,False,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Нур-Султан
15,"р-н Алматы, ул. Ш. Валиханова, д. 24",уг. ул. Сейфуллина,51.174399,71.43916,False,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Нур-Султан
8,"р-н Есиль, ул. Достык, д. 12, ВП 36",уг. ул. Сауран,51.1263,71.4252,True,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Нур-Султан
23,"р-н Есиль, ул. Кунаева, д. 14/2, ВП 1",,51.1291230075993,71.4372304576717,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
22,"р-н Есиль, ул. Сыганак, д. 10, ВП 27","уг. ул. Сауран, ЖК Номад",51.124189,71.41858,True,True,"{'text': 'Ожидание свыше 30 мин', 'type': 'high'}",Нур-Султан
11,"р-н Сарыарка, пр. Богенбай батыра, д. 63, кв. 38",уг. ул. Валиханова,51.178649,71.432559,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
9,"р-н Сарыарка, пр. Женис, д. 25, ВП 1",уг. ул. Сейфуллина,51.1708229867479,71.4120299999992,True,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Нур-Султан
20,"р-н Сарыарка, пр. Женис, д. 8/1, кв. 4",уг. ул. Кенесары,51.1644404746316,71.4148736441799,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
21,"р-н Сарыарка, ул. Бейбитшилик, д. 36, кв. 22, 3",возле магазина Колос,51.1784,71.4185,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
7,"р-н Сарыарка, ул. Есенберлина (бывш. пр. Акжайык), д. 12, ВП 1",уг. пр. Женис,51.1909428134108,71.4075483091923,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
12,"р-н  Алматы, ул. Ш. Валиханова, д. 13",уг. ул. Отырар,51.1682736082609,71.439182157077,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
14,"ул. Кажымукана, д. 2",уг. пр. Тауелсыздык,51.1514877195885,71.458769728836,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
24,"ул. Сейфуллина, д. 33, ВП 2","уг. пр. Республики, напротив здания телеканала ""7""",51.1717068940963,71.4264709325401,False,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
