,address_geocoded,displayLongitude,displayLatitude,address
0,"бульвар Академика К. Скрябина 6, 010000 Нұр-Сұлтан, Қазақстан",71.41651,51.18026,"бульвар Академика Скрябина, д. 6"
1,"проспект Кабанбай батыра 45, 010000 Нұр-Сұлтан, Қазақстан",71.4096801,51.1096251,"ЖК Highvill, пр. Кабанбай батыра, д. 43 В"
2,"проспект Бауыржана Момышулы 2/7, 010010 Нұр-Сұлтан, Қазақстан",71.46321,51.13475,"ЖК Акбулак Таун, пр. Момышулы, д. 2/7"
3,"проспект Улы Дала 11, 010000 Нұр-Сұлтан, Қазақстан",71.42422,51.09642,"ЖК Арман Кала, пр. Улы Дала, д. 11/1"
4,"проспект Улы Дала 27, 010018 Нұр-Сұлтан, Қазақстан",71.444,51.09367,"ЖК Арнау-1, пр. Улы Дала, д. 27"
5,"Жк Водно-Зеленый бульвар 12/1, 010000 Нұр-Сұлтан, Қазақстан",71.42671,51.13087,"ЖК Водно-Зеленый Бульвар, ул. Кунаева, д. 12/1"
6,"улица Григория Потанина 3/2, 010000 Нұр-Сұлтан, Қазақстан",71.40173,51.18339,"ЖК Лея, ул. Потанина, д. 3/2"
7,"проспект Сарыарка 41, 010000 Нұр-Сұлтан, Қазақстан",71.40459,51.17925,"ЖК Махаббат, пр. Сарыарка, д. 41"
8,"улица Сарайшык 5/1, 010001 Нұр-Сұлтан, Қазақстан",71.42687,51.13628,"ЖК Мисон, ул. Сарайшык, д. 5/1"
9,"проспект Шакарим Кудайбердиулы 17, 010009 Нұр-Сұлтан, Қазақстан",71.49562,51.15822,"ЖК Мунар, пр. Кудайбердиулы, д. 17 блок 1/10"
10,"улица Сыганак 10, 010000 Нұр-Сұлтан, Қазақстан",71.41971,51.12413,"ЖК Номад, ул. Сыганак, д. 10"
11,"улица Алихана Бокейханова 8, 010000 Нұр-Сұлтан, Қазақстан",71.42513,51.1603,"ЖК Нур Канат, ул. Алихана Бокейхана, д. 8"
12,"улица Тараса Шевченко 8, 010000 Нұр-Сұлтан, Қазақстан",71.40666,51.15973,"ЖК Сана, ул. Шевченко, д. 8"
13,"улица Темирбека Жургенова 27/1, 010000 Нұр-Сұлтан, Қазақстан",71.50245,51.12388,"ЖК Сарайшык, ул. Т.Жургенова, д. 27/1"
14,"улица Достык 5, 010000 Нұр-Сұлтан, Қазақстан",71.42217,51.12794,"ЖК Северное Сияние, ул. Достык, д. 5"
15,"улица Болашак 2, 010006 Нұр-Сұлтан, Қазақстан",71.33767,51.17866,"ЖМ Коктал-2, ул. Болашак д. 4/2"
16,"Коргалжынское шоссе 11, 010000 Нұр-Сұлтан, Қазақстан",71.39252,51.14734,"Кургальжинское шоссе, д. 11"
17,"Коргалжынское шоссе 23, 010000 Нұр-Сұлтан, Қазақстан",71.36918,51.1473,"Кургальжинское шоссе, д. 23"
18,"Коргалжынское шоссе 6, 010000 Нұр-Сұлтан, Қазақстан",71.3837,51.14895,"Кургальжинское шоссе, д. 6"
19,"улица Есет батыра 18, Нұр-Сұлтан, Қазақстан",71.23772,51.12076,"мкр. Восточная Ильинка, ул. Есет батырa, д. 18"
20,"улица Габидена Мустафина 21, 010009 Нұр-Сұлтан, Қазақстан",71.51153,51.15731,"мкр. Достар-1, ул. Мустафина, д. 21"
21,"улица Габидена Мустафина 2, 010009 Нұр-Сұлтан, Қазақстан",71.50509,51.14815,"мкр. Достар-2, ул. Мустафина, д. 21/5"
22,"улица Габидена Мустафина 21, 010009 Нұр-Сұлтан, Қазақстан",71.51153,51.15731,"мкр. Достар-2, ул. Мустафина, д. 21 корп. 3"
23,"улица Наурыз 26, 010006 Нұр-Сұлтан, Қазақстан",71.33938,51.19834,"мкр. Коктал-2, ул. Наурыз, д. 26"
24,"микрорайон Самал 11, 010000 Нұр-Сұлтан, Қазақстан",71.42943,51.15375,"мкр. Самал, д. 11"
