,address_geocoded,displayLongitude,displayLatitude,address
0,"микрорайон 1 41, 021500 Степногорск, Қазақстан",71.88048,52.34209,"1 мкр-н, д. 41"
1,"микрорайон 2 4, 021500 Степногорск, Қазақстан",71.87444,52.34696,"2 мкр-н, д. 4"
2,"микрорайон 3 103, 021500 Степногорск, Қазақстан",71.88887,52.34793,"3 мкр-н, д. 105"
3,"микрорайон 3 32, 021500 Степногорск, Қазақстан",71.8829,52.35035,"3 мкр-н, д. 36"
4,"микрорайон 3 84, 021500 Степногорск, Қазақстан",71.88149,52.34714,"3 мкр-н, д. 80"
5,"микрорайон 3 84, 021500 Степногорск, Қазақстан",71.88149,52.34714,"3 мкр-н, д. 84"
6,"микрорайон 4 7, 021500 Степногорск, Қазақстан",71.88314,52.34621,"4 мкр-н, д. 7"
7,"микрорайон 4 86A, 021500 Степногорск, Қазақстан",71.88865,52.3431,"4 мкр-н, д. 86А"
8,"улица Каныша Сатпаева 10, 010010 Нұр-Сұлтан, Қазақстан",71.46999,51.15041,"4 мкр-н, ул. К.Сатпаева, д. 10"
9,"улица Каныша Сатпаева 10, 010010 Нұр-Сұлтан, Қазақстан",71.46999,51.15041,"4 мкр-н, ул. К.Сатпаева, д. 10"
10,"микрорайон 5 38, 021500 Степногорск, Қазақстан",71.88704,52.35582,"5 мкр-н, д. 50"
11,"микрорайон 5 6, 021500 Степногорск, Қазақстан",71.89038,52.35584,"5 мкр-н, д. 6"
12,"микрорайон 5 23, 010008 Нұр-Сұлтан, Қазақстан",71.47616,51.15161,"5 мкр-н, ул. Кажымукана, д. 24"
13,"микрорайон 5 23, 010008 Нұр-Сұлтан, Қазақстан",71.47616,51.15161,"5 мкр-н, ул. Кажымукана, д. 24"
14,"микрорайон 7 43, 021500 Степногорск, Қазақстан",71.89242,52.35137,"7 мкр-н, д. 43"
15,"улица Акмешит 7A, 010000 Нұр-Сұлтан, Қазақстан",71.42273,51.11497,"ЖК Грация, ул. Акмешит, д. 7A"
16,"38-ая улица 14, 010000 Нұр-Сұлтан, Қазақстан",71.45288,51.09736,"ЖК Саранда, ул.38-я, д.14"
17,"улица Жанкожа батыра 8, Нұр-Сұлтан, Қазақстан",71.25732,51.13011,"ЖМ Ильинка, ул. Жантай батыра, д. 8"
18,"улица Карагандинская 44, 010000 Нұр-Сұлтан, Қазақстан",71.43416,51.17384,"Карагандинская трасса, д. 45"
19,"Коргалжынское шоссе 25/2, 010000 Нұр-Сұлтан, Қазақстан",71.36647,51.14715,"Кургалжинское шоссе, д. 25/2"
20,"Коргалжынское шоссе 1, 010000 Нұр-Сұлтан, Қазақстан",71.41346,51.14513,"Кургальжинское шоссе, д. 1"
21,"Коргалжынское шоссе 1, 010000 Нұр-Сұлтан, Қазақстан",71.41346,51.14513,"Кургальжинское шоссе, д. 1"
22,"Коргалжынское шоссе 1, 010000 Нұр-Сұлтан, Қазақстан",71.41346,51.14513,"Кургальжинское шоссе, д. 1"
23,"Коргалжынское шоссе 1, 010000 Нұр-Сұлтан, Қазақстан",71.41346,51.14513,"Кургальжинское шоссе, д. 1"
24,"Коргалжынское шоссе 1, 010000 Нұр-Сұлтан, Қазақстан",71.41346,51.14513,"Кургальжинское шоссе, д. 1"
25,"Коргалжынское шоссе 1, 010000 Нұр-Сұлтан, Қазақстан",71.41346,51.14513,"Кургальжинское шоссе, д. 1"
26,"Коргалжынское шоссе 1, 010000 Нұр-Сұлтан, Қазақстан",71.41346,51.14513,"Кургальжинское шоссе, д. 1"
27,"Коргалжынское шоссе 1, 010000 Нұр-Сұлтан, Қазақстан",71.41346,51.14513,"Кургальжинское шоссе, д. 1"
28,"Коргалжынское шоссе 1, 010000 Нұр-Сұлтан, Қазақстан",71.41346,51.14513,"Кургальжинское шоссе, д. 1"
29,"Коргалжынское шоссе 19, 010000 Нұр-Сұлтан, Қазақстан",71.37166,51.14669,"Кургальжинское шоссе, д. 19"
30,"Коргалжынское шоссе 2, 010000 Нұр-Сұлтан, Қазақстан",71.41616,51.14807,"Кургальжинское шоссе, д. 2"
31,"Коргалжынское шоссе 22, 010000 Нұр-Сұлтан, Қазақстан",71.36157,51.15073,"Кургальжинское шоссе, д. 22"
32,"Коргалжынское шоссе 23, 010000 Нұр-Сұлтан, Қазақстан",71.36918,51.1473,"Кургальжинское шоссе, д. 23"
33,"Коргалжынское шоссе 8, 010000 Нұр-Сұлтан, Қазақстан",71.38007,51.14878,"Кургальжинское шоссе, д. 8"
34,"Коргалжынское шоссе 8, 010000 Нұр-Сұлтан, Қазақстан",71.38007,51.14878,"Кургальжинское шоссе, д. 8"
35,"улица Амман 14, 010002 Нұр-Сұлтан, Қазақстан",71.44567,51.14897,"мкр. Акбулак, ул. Амман, д. 14"
36,"улица Аль-Фараби 39A, 010000 Нұр-Сұлтан, Қазақстан",71.38327,51.25076,"мкр. Аль-Фараби, д. 39 а"
37,"Арнасай көшесі 7, 010000 Нұр-Сұлтан, Қазақстан",71.42939,51.04125,"мкр. Арнасай, д. 7"
38,"микрорайон Самал 11, 010000 Нұр-Сұлтан, Қазақстан",71.42943,51.15375,"мкр. Самал, д. 11"
