,address_geocoded,displayLongitude,displayLatitude,address
0,"проспект Республики 52/1, 010000 Нұр-Сұлтан, Қазақстан",71.42355,51.18184,"пр. Республики, д. 52/1"
1,"проспект Республики 84, 010011 Нұр-Сұлтан, Қазақстан",71.42169,51.19071,"пр. Республики, д. 84"
2,"проспект Нургисы Тлендиева 3, 010003 Нұр-Сұлтан, Қазақстан",71.37892,51.18088,"пр. Тлендиева, д. 3"
3,"улица Акжол 27/2, 010000 Нұр-Сұлтан, Қазақстан",71.45193,51.18324,"ул. Акжол, д. 27/2"
4,"улица Куйши Дина 29, 010008 Нұр-Сұлтан, Қазақстан",71.48314,51.14999,"ул. Куйши Дина, д. 29"
5,"улица Беимбета Майлина 17, 010000 Нұр-Сұлтан, Қазақстан",71.47561,51.14571,"ул. Майлина, д. 17"
6,"улица Жакыпа Омарова 166, 010000 Нұр-Сұлтан, Қазақстан",71.44576,51.17172,"ул. Омарова, д. 166"
7,"улица Цветочная 123, 010006 Нұр-Сұлтан, Қазақстан",71.35983,51.1787,"ул. Цветочная, д. 121А"
8,"улица Павлодарская 100, 050014 Алматы, Қазақстан",76.92255,43.33298,"мкр. Айнабулак-3, ул. Павлодарская, д. 100"
9,"микрорайон Акбулак 23, 050033 Алматы, Қазақстан",76.8382998,43.2572497,"мкр. Акбулак, д. 23"
10,"микрорайон Жетысу-1 9, 050063 Алматы, Қазақстан",76.83904,43.22496,"мкр. Жетысу-1, д. 9"
11,"проспект Райымбека 542/2, 050006 Алматы, Қазақстан",76.80868,43.23748,"пр. Райымбека, д. 542/2"
12,"проспект Турара Рыскулова 149, 050033 Алматы, Қазақстан",76.83715,43.25004,"пр. Рыскулова, д. 149"
13,"проспект Турара Рыскулова 274, 050033 Алматы, Қазақстан",76.84129,43.25555,"пр. Рыскулова, д. 274"
14,"проспект Суюнбая Аронулы 211, 050056 Алматы, Қазақстан",76.95698,43.31497,"пр. Суюнбая, д. 211"
15,"улица Бухтарминская 2V, 050039 Алматы, Қазақстан",76.99992,43.33748,"ул. Бухтарминская, д. 2В"
16,"улица Ильяса Жансугурова 291A, 050066 Алматы, Қазақстан",76.93079,43.30453,"ул. Жансугурова, д. 291 А"
17,"улица Желтоксан 15, 050016 Алматы, Қазақстан",76.93727,43.27196,"ул. Желтоксан, д. 15"
18,"улица Карасай батыра 1, 050010 Алматы, Қазақстан",76.97136,43.24588,"ул. Карасай батыра, д. 162/1"
19,"улица Каныша Сатпаева 139, 050046 Алматы, Қазақстан",76.87327,43.23217,"ул. Сатпаева, д. 139"
20,"улица Утеген батыра 124, 050062 Алматы, Қазақстан",76.86059,43.23815,"ул. Утеген Батыра, д. 124/1"
21,"улица Кожа Ахмета Яссауи 195A, 050063 Алматы, Қазақстан",76.83562,43.20944,"ул. Яссауи, д. 195 А"
22,"проспект Санкибай батыра 24, Ақтөбе, Қазақстан",57.1395,50.29235,"пр. Санкибай батыра, д. 24"
23,"улица Исатая Тайманова 6, Ақтөбе, Қазақстан",57.1300512,50.2875281,"ул. Тайманова, д. 1 В"
24,"улица Мусы Баймуханова 58, Атырау, Қазақстан",51.93835,47.12926,"мкр. Привокзальный, ул. Баймуханова, д. 58/2"
25,"проспект Республики 38, Қарағанды, Қазақстан",73.14186,49.78263,"мкр. Юго-Восток, пр. Республики, д. 47"
26,"улица Кривогуза 65, Қарағанды, Қазақстан",73.0668989,49.802064,"ул. Кривогуза, д. 65"
27,"улица Новоселов 177/2, Қарағанды, Қазақстан",73.10638,49.80238,"ул. Новоселова, д. 177/2"
28,"улица Садуакасова 99A, Көкшетау, Қазақстан",69.39652,53.27383,"ул. Садуакасова, д. 99А"
29,"проспект Абая 60, Қостанай, Қазақстан",63.61759,53.19637,"пр. Абая, д. 60/1"
30,"улица Дмитрия Карбышева 2, Қостанай, Қазақстан",63.59726,53.20934,"ул. Карбышева, д. 45/2"
31,"улица Журбы 85A, Қызылорда, Қазақстан",65.4748,44.84649,"мкр. Западный, ул. Журбы, д. 85А"
32,"улица Мустафы Шокая 241, Қызылорда, Қазақстан",65.54847,44.8164,"ул. М.Шокая, д. 248"
33,"улица Малая Объездная 4, Павлодар, Қазақстан",76.98659,52.28602,"ул. Малая Объездная, д. 6"
34,"улица Торговая 1, Павлодар, Қазақстан",76.84795,52.39803,"ул. Торговая, д. 1"
35,"Бозтаева көшесі 4, Семей, Қазақстан",80.22235,50.38924,"ул. Бозтаева, д. 4/3"
36,"улица Гани Муратбаева 31, Талдықорған, Қазақстан",78.43124,45.01346,"ул. Муратбаева, д. 51"
37,"улица Вокзальная 6, Орал, Қазақстан",51.36705,51.22816,"ул. Вокзальная, д. 8"
38,"проспект Нурсултана Назарбаева 128, Өскемен, Қазақстан",82.57804,49.98263,"пр. Назарбаева, д. 128"
39,"Ташкент көшесі 22, Шымкент, Қазақстан",69.60567,42.28716,"Ташкентское шоссе, д. 22"
40,"улица Байдибек Би 99, Шымкент, Қазақстан",69.54984,42.35424,"ул. Байдибек би, д. 174"
41,"улица С. Кожанова 63, Шымкент, Қазақстан",69.58535,42.33363,"ул. Кожанова, д. 63"
