recId,searchText
0,"бульвар Академика Скрябина, д. 6"
1,"г. Нур-Султан, ул. Туран, д. 37"
2,"ЖК 7 континент, ул. Иманбаевой, д. 9"
3,"ЖК Highvill, пр. Кабанбай батыра, д. 43 В"
4,"ЖК Акбулак Таун, пр. Момышулы, д. 2/7"
5,"ЖК Арман Кала, пр. Улы Дала, д. 11/1"
6,"ЖК Арнау-1, пр. Улы Дала, д. 27"
7,"ЖК Водно-Зеленый Бульвар, ул. Кунаева, д. 12/1"
8,"ЖК Лея, ул. Потанина, д. 3/2"
9,"ЖК Махаббат, пр. Сарыарка, д. 41"
10,"ЖК Мисон, ул. Сарайшык, д. 5/1"
11,"ЖК Мунар, пр. Кудайбердиулы, д. 17 блок 1/10"
12,"ЖК Номад, ул. Сыганак, д. 10"
13,"ЖК Нур Канат, ул. Алихана Бокейхана, д. 8"
14,"ЖК Сана, ул. Шевченко, д. 8"
15,"ЖК Сарайшык, ул. Т.Жургенова, д. 27/1"
16,"ЖК Северное Сияние, ул. Достык, д. 5"
17,"ЖМ Коктал-2, ул. Болашак д. 4/2"
18,"Кургальжинское шоссе, д. 11"
19,"Кургальжинское шоссе, д. 23"
20,"Кургальжинское шоссе, д. 6"
21,"мкр. Восточная Ильинка, ул. Есет батырa, д. 18"
22,"мкр. Достар-1, ул. Мустафина, д. 21"
23,"мкр. Достар-2, ул. Мустафина, д. 21/5"
24,"мкр. Достар-2, ул. Мустафина, д. 21 корп. 3"
25,"мкр. Коктал-2, ул. Наурыз, д. 26"
26,"мкр. Самал, д. 11"
27,"мкр. Селикатный, ул. Шалкоде, д. 1, ВП1"
28,"мкр. Солнечный, ул. Манаса, д. 22/2, ВП-4"
29,"мкр. Шубар, ул. Митченко, д. 45"
30,"пос. Ильинка, ул. Жантай батыра, д. 8"
31,"пос. Караоткель, ул. Гумилева, д. 23"
32,"пос. Караоткель, ул. Макатаева, д. 16/2"
33,"пос. Косшы, ул. Республики, д. 1"
34,"пос. Пригородный, ул. Беласар, д. 4/1"
35,"пос. Уркер, ул. Байганина, д. 1"
36,"пос. Учхоз, ул. Армандастар, д. 1/1"
37,"пр. Абая, д. 11"
38,"пр. Абая, д. 1/1"
39,"пр. Абая, д. 3"
40,"пр. Абая, д. 36А"
41,"пр. Абая, д. 92/1"
42,"пр. Абылай Хана, д. 24а"
43,"пр. Абылай Хана, д. 25/2"
44,"пр. Абылай Хана, д. 27/3"
45,"пр. Абылай Хана, д. 34"
46,"пр. Абылай Хана, д. 34"
47,"пр. Абылай Хана, д. 34"
48,"пр. Абылай Хана, д. 41/3"
49,"пр. Абылай Хана, д. 4/4"
50,"пр. Абылай Хана, д. 5"
51,"пр. Абылай Хана, д. 9"
52,"пр. Б.Момышулы, д. 10"
53,"пр. Б.Момышулы, д. 12"
54,"пр. Б.Момышулы, д. 13/1"
55,"пр. Б.Момышулы, д. 16"
56,"пр. Б.Момышулы, д. 17"
57,"пр. Б.Момышулы, д. 19/1"
58,"пр. Б.Момышулы, д. 23"
59,"пр. Б.Момышулы, д. 4"
60,"пр. Богенбай батыра, д. 2/1"
61,"пр. Богенбай батыра, д. 26"
62,"пр. Богенбай батыра, д. 54"
63,"пр. Богенбай батыра, д. 56"
64,"пр. Богенбай батыра, д. 63"
65,"пр. Богенбай Батыра, д. 6/5"
66,"пр. Богенбай батыра, д. 6Б"
67,"пр. Богенбай батыра, д. 73/1"
68,"пр. Женис, д. 10"
69,"пр. Женис, д. 2"
70,"пр. Женис, д. 20"
71,"пр. Женис, д. 25, ВП-1"
72,"пр. Женис, д. 25, ВП-1"
73,"пр. Женис, д. 47"
74,"пр. Женис, д. 63"
75,"пр. Женис, д. 70"
76,"пр. Женис, д. 8/1"
77,"пр. Женис, д. 8/1"
78,"пр. Кабанбай Батыра, д. 105"
79,"пр. Кабанбай Батыра, д. 2"
80,"пр. Кабанбай батыра, д. 21"
81,"пр. Кабанбай батыра, д. 21"
82,"пр. Кабанбай батыра, д. 40"
83,"пр. Кабанбай батыра, д. 42"
84,"пр. Кабанбай батыра, д. 46А"
85,"пр. Кабанбай Батыра, д. 48/7"
86,"пр. Кабанбай батыра, д. 5/1"
87,"пр. Кабанбай Батыра, д. 9/5"
88,"пр. Кошкарбаева, д. 56"
89,"пр. Кудайбердиулы, д. 25/1"
90,"пр. Кудайбердиулы, д. 28"
91,"пр. Кудайбердиулы, д. 7"
92,"пр. Мангилик Ел, д. 17 А"
93,пр. Мангилик Ел д. 19/2
94,"пр. Мангилик Ел, д. 19/2"
95,"пр. Мангилик Ел, д. 27"
96,"пр. Мангилик Ел, д. 33/2"
97,"пр. Мангилик Ел, д. 52"
98,"пр. Мангилик Ел, д. 54"
99,"пр. Момышулы, д. 10"
100,"пр. Момышулы, д. 18/1"
101,"пр. Республики, д. 1"
102,"пр. Республики, д. 21"
103,"пр. Республики, д. 30"
104,"пр. Республики, д. 52/1"
105,"пр. Республики, д. 59"
106,"пр. Республики, д. 7"
107,"пр. Республики, д. 84"
108,"пр. Сарыарка, д. 11"
109,"пр. Сарыарка, д. 19"
110,"пр. Сарыарка, д. 21"
111,"пр. Тауелcыздык, д. 45/1"
112,"пр. Тауелсиздик, д. 34"
113,"пр. Тауелсыздык, д. 1/1"
114,"пр. Тауелсыздык, д. 12/1"
115,"пр. Тауелсыздык, д. 21"
116,"пр. Тауелсыздык, д. 32"
117,"пр. Тауелсыздык, д. 3/2"
118,"пр. Тауелсыздык, д. 34"
119,"пр. Тауелсыздык, д. 34"
120,"пр. Тлендиева, д. 15"
121,"пр. Тлендиева, д. 15"
122,"пр. Тлендиева, д. 15/1"
123,"пр. Тлендиева, д. 46"
124,"пр. Туран, д. 14"
125,"пр. Туран, д. 19"
126,"пр. Туран, д. 32"
127,"пр. Туран, д. 34/1"
128,"пр. Туран, д. 37"
129,"пр. Туран, д. 38"
130,"пр. Улы Дала, д. 19"
131,"пр. Улы Дала, д. 29"
132,"пр. Улы Дала, д. 7/4"
133,"пр. Шакарима Кудайбердиулы, д. 32"
134,"с. Жибек Жолы, ул. Желтоксан, д. 1"
135,"с. Жибек Жолы, ул. Сары Арка, д. 24А"
136,"с. Косшы, ЖМ Лесная Поляна, д. 12"
137,"с. Косшы, ЖМ Лесная Поляна, д. 16"
138,"с. Косшы, ЖМ Лесная поляна, д. 17, ВП-5"
139,"с. Косшы, ЖМ Лесная поляна, д. 22"
140,"с. Косшы, ЖМ Лесная Поляна, д. 2, ВП-16"
141,"с. Косшы, ЖМ Лесная поляна, д. 6"
142,"с. Косшы, ул. Республики, д. 18 Б"
143,"с. Косшы, ул. Республики, д. 26"
144,"с. Косшы, ул. Республики, д. 3"
145,"трасса Астана-Караганда, д. 4/1"
146,"ул. 187, д. 14/2"
147,"ул. 187, д. 20"
148,"ул. 189, д. 5"
149,"ул. 38, д. 27"
150,"ул. 38, д. 8"
151,"ул. А-34, д. 21"
152,"ул. А 98, д. 8"
153,"ул. Азербаева, д. 2"
154,"ул. Азирбаева, д. 6"
155,"ул. Айнакол, д. 41"
156,"ул. Айнакол, д. 60"
157,"ул. Айтматова, д. 29 А"
158,"ул. Айтматова, д. 36"
159,"ул. Акжол, д. 27"
160,"ул. Акжол, д. 27/2"
161,"ул. Акмешит, д. 11"
162,"ул. Акмешит, д. 5"
163,"ул. Акмола, д. 54"
164,"ул. Алматы, д. 11"
165,"ул. Аманжолова, д. 24"
166,"ул. Аманжолова, д. 28/2"
167,"ул. Армандастар, д. 2/3"
168,"ул. Асан кайгы, д. 8"
169,"ул. Ауэзова, д. 22"
170,"ул. Ауэзова, д. 35"
171,"ул. Ауэзова, д. 57/2"
172,"ул. Байсейитовой, д. 101"
173,"ул. Байсейитовой, д. 8"
174,"ул. Байтурсынова, д. 12"
175,"ул. Байтурсынова, д. 5"
176,"ул. Балкантау, д. 65"
177,"ул. Балкантау, д. 95а"
178,ул. Бараева д. 21
179,"ул. Бейбитшилик, д. 25"
180,"ул. Бейбитшилик, д. 31"
181,"ул. Бейбитшилик, д. 32"
182,"ул. Бейбитшилик, д. 36"
183,"ул. Бейбитшилик, д. 71"
184,"ул. Бейбитшилик, д. 9"
185,"ул. Бигельдинова, д. 9"
186,"ул. Биржан Сала, д. 7а"
187,"ул. Бокейхана, д. 15"
188,"ул. Бокейхана, д. 27"
189,"ул. Бокейханова, д. 11"
190,"ул. Бокейханова, д. 2"
191,"ул. Бокейханова, д. 30"
192,"ул. Будапешт, д. 1"
193,"ул. Бухар Жырау, д. 30/1"
194,"ул. Бухар жырау, д. 36"
195,"ул. Валиханова, д. 20"
196,"ул. Валиханова, д. 20"
197,"ул. Валиханова, д. 21/3"
198,"ул. Габдуллина, д. 12/1"
199,"ул. Герцена, д. 86"
200,"ул. Гёте, д. 1"
201,"ул. Гоголя, д. 33/1"
202,"ул. Досмухамедулы, д. 4"
203,"ул. Досмухамедулы, д. 8"
204,"ул. Достык, д. 10"
205,"ул. Достык, д. 12, ВП-36"
206,"ул. Достык, д. 12, ВП-36"
207,"ул. Дуйсенбаев, д. 1В"
208,"ул. Дукенулы, д. 31"
209,"ул. Дукенулы, д. 37/3, ВП-2"
210,"ул. Дулатова, д. 51"
211,"ул. Е 10, д. 11"
212,"ул. Е 10, д. 2"
213,"ул. Е 10, д. 4"
214,"ул. Е 16, д. 4"
215,"ул. Е-246, д. 10"
216,"ул. Е 246, д. 9"
217,"ул. Е-49, д. 1"
218,"ул. Е 49, д. 7"
219,"ул. Е-755, д. 11"
220,"ул. Едил, д. 26"
221,"ул. Едил, д. 26"
222,"ул. Есенберлина (бывш. пр. Акжайык), д. 12, ВП-1"
223,"ул. Есенберлина (бывш. пр. Акжайык), д. 12, ВП-1"
224,"ул. Есенберлина (бывш. пр. Акжайык), д. 12, ВП-1"
225,"ул. Есенберлина, д. 32"
226,"ул. Жангельдина, д. 42"
227,"ул. Жангельдина, д. 7"
228,"ул. Жанкент, д. 178"
229,"ул. Жансугурова, д. 8/1"
230,"ул. Жаркент, д. 25А"
231,"ул. Желтоксан, д. 2"
232,"ул. Желтоксан, д. 23"
233,"ул. Жирентаева, д. 15/1"
234,"ул. Жирентаева, д. 20"
235,ул. Жолымбетская д. 43
236,"ул. Жубанова, д. 23"
237,"ул. Жубанова, д. 3"
238,"ул. Жумабаева, д. 16"
239,"ул. Жумабаева, д. 29/4"
240,"ул. Жумабаева, д. 7/1"
241,"ул. Жургенова, д. 26"
242,"ул. Жургенова, д. 28/1"
243,"ул. Иманбаевой, д. 10"
244,"ул. Иманова, д. 17"
245,"ул. Иманова, д. 19"
246,"ул. Иманова, д. 19"
247,"ул. Иманова, д. 34"
248,"ул. Иманова, д. 41"
249,"ул. Иманова, д. 44"
250,"ул. Иманова, д. 50/1"
251,"ул. Иманова, д. 8"
252,"ул. Иманова, д. 8"
253,"ул. Иманова, д. 8"
254,"ул. Исатай батыра, д. 28"
255,"ул. Кабанбай батыра, д. 9/2"
256,"ул. Кажымукана, д. 2"
257,"ул. К.Азербаева, д. 6/5"
258,"ул. Калдаякова, д. 11"
259,"ул. Карасай батыра, д. 29"
260,"ул. Кенесары, д. 40"
261,"ул. Кенесары, д. 47А"
262,"ул. Кенесары, д. 52"
263,"ул. Кенесары, д. 65, ВП-2"
264,"ул. Кенесары, д. 70"
265,"ул. Кенесары, д. 78"
266,"ул. Кокжелек, д. 2А"
267,"ул. Конституции, д. 16"
268,"ул. Конституции, д. 22"
269,"ул. Кордай, д. 37 А"
270,"ул. Кордай, д. 58"
271,"ул. Кордай, д. 83"
