id,address1,address2,latitude,longitude,status,city
111720,"19 мкр-н, ул. Ленина, д. 74","магазин ""Людмила"", справа от главного входа",52.9611,63.0849,"{'is_working': True, 'additional_info': []}",Рудный
114960,"1 мкр-н, д. 19 А",ТД Деко,52.5463,62.5014,"{'is_working': True, 'additional_info': []}",Лисаковск
109251,"1 мкр-н, д. 7","супермаркет ""Юность"", справа от входа",52.5449,62.5018,"{'is_working': True, 'additional_info': []}",Лисаковск
42016,"20 мкр-н, ул. Корчагина, д. 112/1","магазин ""Пятерка+""",52.968877,63.08404,"{'is_working': True, 'additional_info': []}",Рудный
109242,"2 мкр-н, д. 32","ТК Довлан, главный вход, между двумя продуктовыми павильонами",52.5446,62.4969,"{'is_working': True, 'additional_info': []}",Лисаковск
114959,"3 мкр-н, д. 2","магазин ""Арай""",52.5482,62.4961,"{'is_working': True, 'additional_info': []}",Лисаковск
41742,"3 мкр-н, д. 26",ТД Махаббат,52.545667,62.495911,"{'is_working': True, 'additional_info': []}",Лисаковск
109245,"4 мкр-н, д. 3А","супермаркет ""Family"", в тамбуре, справа от входа",52.5416,62.4852,"{'is_working': True, 'additional_info': []}",Лисаковск
111777,"6 А мкр-н, д. 10","магазин ""Наурыз"", в торговом зале, слева от входа, терминальная зона",52.5495,62.498,"{'is_working': True, 'additional_info': []}",Лисаковск
41822,"6 мкр-н, д. 1А","супермаркет ""Казына""",52.548997,62.489964,"{'is_working': True, 'additional_info': []}",Лисаковск
109244,"6 мкр-н, д. 9","ТД Керуен, центральный вход, прямо по лестнице, слева в коридоре",52.5487,62.4932,"{'is_working': True, 'additional_info': []}",Лисаковск
109385,"6 мкр-н, д. 9","ТД Керуен, слева от центрального входа, возле лестницы на цокольный этаж",52.5488,62.4933,"{'is_working': True, 'additional_info': []}",Лисаковск
111689,"пр. Комсомольский, д. 36","уг. пр. Студенческий, магазин ""Калинка""",52.9676,63.1052,"{'is_working': True, 'additional_info': []}",Рудный
111661,"ул. 50 лет Октября, д. 1","уг. ул. Парковая, магазин ""Энергия форум"", прямо от главного входа",52.9559,63.0984,"{'is_working': True, 'additional_info': []}",Рудный
111677,"ул. 50 лет Октября, д. 37","магазин ""Атлант"", во дворе, за остановкой ""Жаксы"", слева от главного входа",52.9672,63.0959,"{'is_working': True, 'additional_info': []}",Рудный
111659,"ул. 50 лет Октября, д. 43","магазин ""Монетка"", по улице Корчагина, за мостом",52.9711,63.0967,"{'is_working': True, 'additional_info': []}",Рудный
111761,"ул. 50 лет Октября, д. 5а","магазин ""Панда"", главный вход, продуктовый отдел, слева",52.9578,63.098,"{'is_working': True, 'additional_info': []}",Рудный
41328,"ул. 50 лет Октября, д. 60","магазин ""Хозяюшка""",52.9691,63.0921,"{'is_working': True, 'additional_info': []}",Рудный
109801,"ул. 50 лет Октября, д. 60А",,52.968981,63.091538,"{'is_working': True, 'additional_info': []}",Рудный
111683,"ул. 50 лет Октября, д. 68","магазин ""Маяк"", за рынком ""Бак-Бак""",52.9706,63.0927,"{'is_working': True, 'additional_info': []}",Рудный
111751,"ул. 50 лет Октября, д. 98","Универсам, центральный вход со стороны парковки, возле бутика ""AVON""",52.9736,63.0923,"{'is_working': True, 'additional_info': []}",Рудный
40755,"ул. 50 лет Октября, д. 98","Универсам, правый вход, терминальная зона",52.9735,63.0919,"{'is_working': True, 'additional_info': []}",Рудный
40711,"ул. Гагарина, д. 10","магазин ""Гагаринский""",52.9595,63.1177,"{'is_working': True, 'additional_info': []}",Рудный
111704,"ул. Гагарина, д. 3","ТД Вернисаж, центральный вход, возле лестницы",52.9621,63.118,"{'is_working': True, 'additional_info': []}",Рудный
41355,"ул. Горняков, д. 49","магазин ""Рахат""",52.961,63.1291,"{'is_working': True, 'additional_info': []}",Рудный
111715,"ул. Горняков, д. 56","магазин ""Синегорье"", возле здания Прокуратуры",52.9656,63.1282,"{'is_working': True, 'additional_info': []}",Рудный
111681,"ул. Горняков, д. 68","уг. ул. Ленина, магазин ""7 дней""",52.9628,63.1279,"{'is_working': True, 'additional_info': []}",Рудный
111679,"ул. Горняков, д. 80","магазин ""Сауле"", напротив Forte Bank",52.9608,63.1283,"{'is_working': True, 'additional_info': []}",Рудный
41435,"ул. Качарская, д. 31А","магазин ""Каравай""",52.9685,63.0757,"{'is_working': True, 'additional_info': []}",Рудный
42096,"ул. Комсомольский, д. 41","супермаркет ""Меркурий""",52.967399,63.108526,"{'is_working': True, 'additional_info': []}",Рудный
111711,"ул. Корчагина, д. 101","магазин ""Фортуна"", за кольцом",52.973,63.1034,"{'is_working': True, 'additional_info': []}",Рудный
40841,"ул. Корчагина, д. 114","магазин ""20-ка"", главный вход, терминальная зона",52.967,63.0841,"{'is_working': True, 'additional_info': []}",Рудный
111691,"ул. Корчагина, д. 132","магазин Курай, за кафе ""Огонёк"", справа от главного входа",52.9664,63.0814,"{'is_working': True, 'additional_info': []}",Рудный
111602,"ул. Корчагина, д. 150",ТД Заман,52.9664,63.078,"{'is_working': True, 'additional_info': []}",Рудный
111710,"ул. Корчагина, д. 88",ТЦ ГУМ,52.9711,63.0991,"{'is_working': True, 'additional_info': []}",Рудный
42379,"ул. Корчагина, д. 94","уг. ул. 50 лет Октября, аптека ""Цветная"", р-н рынка ""Бак-Бак"", при входе справа",52.970213,63.094719,"{'is_working': True, 'additional_info': []}",Рудный
