id,address1,address2,latitude,longitude,status,city
41717,"10 мкр-н, д. 21","супермаркет ""Байтерек"", р-он новостройки",51.1607,53.0401,"{'is_working': True, 'additional_info': []}",Аксай
109035,"4 мкр-н, ул. С.Датова, д. 2А","ост. ""21 век""",51.1639165108,53.0222095496,"{'is_working': True, 'additional_info': []}",Аксай
110237,"4 мкр-н, ул. С.Датова, д. 2А","ост. ""21 век""",51.1639165108,53.0222095496,"{'is_working': True, 'additional_info': []}",Аксай
111992,"5А мкр-н, д. 6А","супермаркет ""Байтерек""",51.1675,53.03,"{'is_working': True, 'additional_info': []}",Аксай
41539,"5 мкр-н, д. 21/1",ТЦ Казахстан,51.1618,53.0334,"{'is_working': True, 'additional_info': []}",Аксай
42388,"5 мкр-н, д. 5 А","напротив парка ""Наурыз""",51.1639,53.0289,"{'is_working': True, 'additional_info': []}",Аксай
109488,"ул. Дружбы Народов, д. 1В","супермаркет ""Алтындар"", главный вход, в холле, банкоматная зона",51.1584,53.0191,"{'is_working': True, 'additional_info': []}",Аксай
111979,"ул. Дружбы Народов, д. 1В","супермаркет ""Алтындар"", главный вход, в холле, банкоматная зона",51.1585,53.0192,"{'is_working': True, 'additional_info': []}",Аксай
40510,"ул. Дружбы Народов, д. 50","ТД Трнава, в тамбуре",51.1594,53.0263,"{'is_working': True, 'additional_info': []}",Аксай
109868,"ул. Комсомольская, д. 60","супермаркет ""Байтерек""",51.1763,52.9901,"{'is_working': True, 'additional_info': []}",Аксай
109735,"ул. Линейная, д. 40Г","супермаркет ""Байтерек""",51.1694,52.9959,"{'is_working': True, 'additional_info': []}",Аксай
42631,"ул. Молодежная, д.13","ТРК ""Жарсуат"", около выхода на парковку",51.1686,53.0308,"{'is_working': True, 'additional_info': []}",Аксай
40503,"ул. С.Датова, д. 6/1А","супермаркет ""Байтерек"", рядом с ТД XXI Век",51.1622,53.0215,"{'is_working': True, 'additional_info': []}",Аксай
41612,"ул. Советская, д. 1 В","АЗС ""Neftek""",51.169,52.9667,"{'is_working': True, 'additional_info': ['Не печатает чек']}",Аксай
