ServiceList,Id,Details,Name,Address,Longitude,Latitude,CityId,HasTickets,B2B,MetroId
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 2048, 8192, 16384, 131072, 262144, 33554432]",D111,"['', '', 'ПН-ВС 10:00-19:00', '']",Дальнегорск,"Дальнегорск, пр-т 50 лет Октября, д.52",135.558965,44.547915,628,True,,
"[1, 4, 8, 2048, 67108864]",U489_fr,"['', 'ПН-ВС 10:00-20:00', '', '']",Дальнегорск,"Дальнегорск, пр-т 50 лет Октября, д.17",135.554941,44.54719,628,,,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 2048, 8192, 16384, 131072, 262144, 33554432]",D105,"['', '', '', 'ПН-ВС 09:00-20:00']",Якутск,"Якутск, ул. Дзержинского, д.70 В",129.743623,62.060408,625,True,,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 2048, 8192, 16384, 131072, 262144, 524288, 33554432]",D108,"['', 'ПН-ПТ 09:00-20:00, СБ-ВС 10:00-19:00', '', '']",Якутск,"Якутск, ул. Пояркова, д.15/1",129.734226,62.035583,625,True,True,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 2048, 8192, 16384, 131072, 262144, 524288, 33554432]",D134,"['', 'ПН-ВС 09:00-20:00', '', '']",Якутск,"Якутск, ул. Ойунского, д.3",129.71599,62.027246,625,True,True,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 2048, 8192, 16384, 131072, 262144, 33554432]",D168,"['', 'ПН-ВС 09:00-20:00', '', '']",Якутск,"Якутск, пр-т Ленина, д.14",129.738098,62.030727,625,True,,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 2048, 8192, 16384, 262144, 33554432]",F097,"['', 'ПН-ВС 10:00-19:45', '', '']",Якутск,"Якутск, ул. Кальвица, д.14/5",129.746255,62.049721,625,True,,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 2048, 8192, 16384, 262144, 33554432]",F577,"['', '', 'ПН-ВС 09:00-20:00', '']",Якутск,"Якутск, ул. Лермонтова, д.62 К",129.721012,62.036916,625,True,,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 2048, 8192, 16384, 262144, 33554432]",F998,"['', '', 'ПН-ВС 09:00-20:00', '']",Якутск,"Якутск, пр-т Ленина, д.9",129.743039,62.032204,625,True,,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 2048, 8192, 16384, 262144, 33554432]",G347,"['', 'ПН-ВС 10:00-18:00', '', '']",Якутск,"Якутск, ул. Орджоникидзе, д.38",129.728971,62.029077,625,True,,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 2048, 8192, 16384, 262144, 33554432]",G713,"['', 'ПН-ВС 09:00-20:00', '', '']",Якутск,"Якутск, ул. Севастопольская, д.1/1А",129.732457,62.077391,625,True,,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 2048, 8192, 16384, 33554432]",G900,"['', 'ПН-ВС 09:00-20:00', '', '']",Якутск,"Якутск, ул. Октябрьская, д.24/1",129.716251,62.02855,625,,,
"[1, 4, 8, 67108864]",P156_fr,"['', 'ПН-ВС 9:00-20:00', '', '']",Якутск,"Якутск, ул. Лермонтова, д.62/2",129.741583,62.043347,625,,,
"[1, 2, 4, 8, 16, 32, 128, 256, 1024, 2048, 4096, 8192, 16384, 131072, 262144]",D013,"['', '', 'ПН-ВС 09:00-21:00', '']",Уссурийск,"Уссурийск, ул. Некрасова, д.86",131.950981,43.802042,628,True,,
"[1, 2, 4, 8, 16, 32, 128, 256, 2048, 8192, 16384, 131072, 262144]",D027,"['', 'ПН-ВС 09:00-20:00', '', '']",Уссурийск,"Уссурийск, ул. Чичерина, д.84, корп.А",131.962363,43.791859,628,True,,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 2048, 8192, 16384, 65536, 131072, 262144, 524288, 33554432]",D094,"['', 'ПН-ПТ 09:00-20:00, СБ-ВС 10:00-20:00', '', '']",Уссурийск,"Уссурийск, ул. Чичерина, д.83",131.95302,43.791358,628,True,True,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 2048, 8192, 16384, 131072, 262144, 33554432]",D115,"['', 'ПН-ВС 09:00-20:00', '', '']",Уссурийск,"Уссурийск, ул. Некрасова, д.79",131.951178,43.798216,628,True,,
"[1, 2, 4, 8, 16, 32, 128, 256, 1024, 2048, 4096, 8192, 16384]",H529,"['', 'ВС-ЧТ 10:00-21:00, ПТ-СБ 10:00-22:00', '', '']",Уссурийск,"Уссурийск, ул. Дзержинского, д.93б",131.935934,43.810578,628,,,
"[1, 2, 4, 8, 16, 32, 128, 256, 2048, 8192, 16384]",H669,"['', 'ПН-ВС 09:00-20:00', '', '']",Уссурийск,"Уссурийск, ул. Чичерина, д.62",131.958257,43.791403,628,,,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 1024, 2048, 4096, 8192, 16384, 262144, 33554432]",D961,"['', '', 'ПН-ВС 10:00-21:00', '']",Норильск,"Норильск, ул. Нансена, д.70",88.171406,69.359069,605,True,,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 2048, 8192, 16384, 262144, 33554432]",E749,"['', '', 'ПН-ВС 11:00-20:00', '']",Норильск,"Норильск, ул. Строителей, д.12",88.398392,69.484083,605,True,,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 2048, 8192, 16384, 262144, 33554432]",F189,"['', 'ПН-ВС 11:00-20:00', '', '']",Норильск,"Норильск, ул. Школьная, д.16",87.755207,69.350498,605,True,,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 1024, 2048, 4096, 8192, 16384, 33554432]",H561,"['', 'ПН-ВС 10:00-21:00', '', '']",Норильск,"Норильск, пр-т Ленинский, д.40а",88.194178,69.353332,605,,,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 1024, 2048, 4096, 8192, 16384, 33554432]",H578,"['', '', 'ПН-ВС 10:00-22:00', '']",Норильск,"Норильск, пл. Металлургов, д.10",88.183003,69.358924,605,,,
"[1, 4, 8, 67108864]",Q154_fr,"['', '', 'ПН-ПТ 11:00-19:00, СБ 11:00-19:00, ВС 12:00-18:00', '']",Норильск,"Норильск, пр-т Ленинский, д.3",88.208452,69.342364,605,,,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 2048, 8192, 16384, 131072, 262144, 524288, 33554432]",S328,"['', 'ПН-ВС 10:00-20:00', '', '']",Норильск,"Норильск, ул. Мира, д.6",88.204206,69.35813,605,True,True,
"[1, 2, 4, 8, 16, 32, 128, 256, 1024, 2048, 4096, 8192, 16384, 131072, 262144]",D054,"['', '', 'ПН-ВС 09:00-21:00', '']",Комсомольск-на-Амуре,"Комсомольск-на-Амуре, Ленина пр-т, д.7",137.017829,50.55532,613,True,,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 2048, 8192, 16384, 131072, 262144, 33554432]",D110,"['', '', 'ПН-ВС 09:00-20:00', '']",Комсомольск-на-Амуре,"Комсомольск-на-Амуре, пр-т Мира, д.28",137.020057,50.546134,613,True,,
"[1, 2, 4, 8, 16, 32, 128, 256, 2048, 8192, 16384, 65536, 131072, 262144]",D113,"['', 'ПН-СБ 09:30-19:45, ВС 10:30-19:45', '', '']",Комсомольск-на-Амуре,"Комсомольск-на-Амуре, ул. Победы, д.14",137.059889,50.582747,613,True,,
"[1, 2, 4, 8, 16, 32, 64, 128, 256, 2048, 8192, 16384, 131072, 262144, 33554432]",D145,"['', 'ПН-ВС 09:00-20:00', '', '']",Комсомольск-на-Амуре,"Комсомольск-на-Амуре, ул. Ленина, д.26",137.01129,50.552241,613,True,,
"[1, 2, 4, 8, 16, 32, 128, 256, 1024, 2048, 4096, 8192, 16384, 131072, 262144]",D152,"['', '', 'ПН-ВС 09:00-21:00', '']",Комсомольск-на-Амуре,"Комсомольск-на-Амуре, ул. Вокзальная, д.43",136.990718,50.547491,613,True,,
